Variable,Spatial_Bandwidth,Temporal_Bandwidth
Intercept,0.4133282758827729,13.866436711160318
Z_income,0.49145354695769305,14.200117713390448
Z_apt,0.49170352801989325,25.861104878488803
Z_sewage,0.5006749843248327,16.001350076147766
Z_train,0.4799597392524352,14.25522914126651
Z_bus,0.5179634380173279,16.081580106873652
Z_slum,0.5062196492498698,14.08200820048815
Z_tenement,0.5988610415547666,32.21505062013402
Z_irregular,0.403297882805266,14.173291315152072
Z_persons_hh,0.4824820906527536,24.91647793925968
